"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED,,
,,N,INC(I),,,,1,1,0,61624,49.65%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,1,0,1,8965,7.22%,,
,,,,,,,,,,,,,
,,N,JNP,,,,1,0,1,11541,9.30%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,1,0,1,1005,0.81%,,
,,,,,,,,,,,,,
,,Z,IND,,,,35,0,34,40980,33.02%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,39,1,37,124115,,,
,,,,,,,,,,,,,
& NAGAR HAVELI,,1,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,INC(I),,,,1,1,0,19277,61.89%,,
,,,,,,,,,,,,,
