,,Election Co,mmission,,of India -,General E,"lections, 1951 (",1st,LOK S,ABH,A),,,,,
,,,,,,,,,,,,,,,,
,,VOTE,S PO,,LLE,D IN,STATE,S,BY,PA,R,TIES,,,,
,,,,,,,,,,,,,,,,
,,,,,,,SEATS,,,,V,OTES %,OF,,,
,,"STATE/UT, NO",OF,,,,CONT- SEA,TS,FD,IN,P,OLLED V,OTES,,,
,,CONSTITUENC,IES,P,ARTY,,ESTED WO,N,SEA,TS,BY,PARTY P,OLLED,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 74,20,,29,,,3526957,,
,,,,,,,,,,,,,,,,
,Saura,shtra,,(,Single,Member,:,6 Double M,ember,:,,),,,,
,,,,,,,,,,,,,,,,
,,,,,HMS,,,4,0,,3,,,99311,13.02%,
,,,,,,,,,,,,,,,,
,,,,,INC,,,6,6,,0,,,506112,66.36%,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,,4,0,,4,,,32193,4.22%,
,,,,,,,,,,,,,,,,
,,,,,SP,,,2,0,,2,,,36980,4.85%,
,,,,,,,,,,,,,,,,
,,,,,SKS,,,1,0,,0,,,29766,3.90%,
,,,,,,,,,,,,,,,,
,,,,,IND,,,3,0,,1,,,58343,7.65%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 20,6,,10,,,762705,,
,,,,,,,,,,,,,,,,
,Travancore C,ochin 1,1,(,Single,Member,:,10 Double M,ember,:,1,),,,,
,,,,,,,,,,,,,,,,
,,,,,INC,,,11,6,,0,,,1224533,35.08%,
,,,,,,,,,,,,,,,,
,,,,,RSP,,,1,1,,0,,,220312,6.31%,
,,,,,,,,,,,,,,,,
,,,,,SP,,,9,0,,4,,,459669,13.17%,
,,,,,,,,,,,,,,,,
,,,,,CP,,,1,0,,1,,,8947,0.26%,
,,,,,,,,,,,,,,,,
,,,,,KSP,,,1,0,,0,,,102098,2.93%,
,,,,,,,,,,,,,,,,
,,,,,RPP,,,2,0,,2,,,57815,1.66%,
,,,,,,,,,,,,,,,,
,,,,,TP,,,1,0,,1,,,36158,1.04%,
,,,,,,,,,,,,,,,,
,,,,,TTC,,,1,1,,0,,,115893,3.32%,
,,,,,,,,,,,,,,,,
,,,,,IND,,,20,4,,9,,,1265051,36.24%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 47,12,,17,,,3490476,,
