"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED
,,N,CPM,,,,1,0,1,11086,12.46%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,47019,52.85%
,,,,,,,,,,,
,,N,LKD,,,,1,0,0,27883,31.34%
,,,,,,,,,,,
,,Z,IND,,,,3,0,3,2980,3.35%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,6,1,4,88968,
,,,,,,,,,,,
CHANDIGARH,,1,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,1,8740,5.60%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,103090,66.02%
,,,,,,,,,,,
,,N,JNP,,,,1,0,0,36790,23.56%
,,,,,,,,,,,
,,Z,IND,,,,30,0,30,7523,4.82%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,33,1,31,156143,
,,,,,,,,,,,
& NAGAR HAVELI,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,0,0,15471,40.31%
,,,,,,,,,,,
,,N,JNP,,,,1,0,1,1402,3.65%
,,,,,,,,,,,
,,Z,IND,,,,2,1,1,21507,56.04%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,4,1,2,38380,
,,,,,,,,,,,
Delhi,,7,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,5,0,0,419210,18.85%
,,,,,,,,,,,
,,N,INC,,,,7,7,0,1528252,68.72%
,,,,,,,,,,,
,,N,JNP,,,,1,0,1,73970,3.33%
"ELECTIONS - INDIA, 1",984,,,,,,VO,TES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- S,EATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED,WON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
Delhi,,7,,,,,,,,,
,,,,,,,,,,,
,,N,LKD,,,,1,0,0,115777,5.21%
,,,,,,,,,,,
,,S,ICJ,,,,1,0,1,5354,0.24%
,,,,,,,,,,,
,,Z,IND,,,,174,0,174,81420,3.66%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,189,7,176,2223983,
,,,,,,,,,,,
LAKSHADWEEP,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,10361,54.47%
,,,,,,,,,,,
,,Z,IND,,,,1,0,0,8662,45.53%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,2,1,0,19023,
,,,,,,,,,,,
PONDICHERRY,,1,,,,,,,,,
,,,,,,,,,,,
,,N,ICS,,,,1,0,1,1794,0.66%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,159376,58.86%
,,,,,,,,,,,
,,S,DMK,,,,1,0,0,97672,36.07%
,,,,,,,,,,,
,,Z,IND,,,,7,0,7,11939,4.41%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,10,1,8,270781,
,,,,,,,,,,,
,Gran,d Total,:,,,,5312,514,4263,235184209,
,,,,,,,,,,,
"Party, S - State Party, U -",Regist,ered (,Unrecognis,ed) P,"arty, Z",-,Independent,,,,
